name,location,area,type,link,price,number_of_bedrooms,pictures
HOT DEAL Town House Corner For sale in Villette,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",307 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1650966.html,"7,800,000 EGP",4 ,https://www.propertyfinder.eg/property/1614181224/260/185/MODE/eb8548/1650966-d76d3o.jpg?ctr=eg
Apartment 154m For Sale in New Capital city,"The City, New Capital Compounds, New Capital City, Cairo",154 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-1827324.html,"1,850,000 EGP",3 ,https://www.propertyfinder.eg/property/1619521839/260/185/MODE/9013b0/1827324-1f933o.jpg?ctr=eg
for sale villa in Concord Compound,"Concord Gardens, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",600 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-concord-gardens-1827519.html,"8,400,000 EGP",5 ,https://www.propertyfinder.eg/property/1619523824/260/185/MODE/6c8ce4/1827519-cd8afo.jpg?ctr=eg
Villa in Level D direct on lake at stone park,"Stone Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",370 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-stone-park-1825648.html,"8,750,000 EGP",5 ,https://www.propertyfinder.eg/property/1619446406/260/185/MODE/43bb25/1825648-46b73o.jpg?ctr=eg
Small Villa 449 M sale Villette with Basement,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",449 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1825441.html,"11,200,000 EGP",4 ,https://www.propertyfinder.eg/property/1619445202/260/185/MODE/e05779/1825441-68beao.jpg?ctr=eg
TownHouse corner for sale in compound Layan,"Layan Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",270 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-layan-residence-1825315.html,"4,900,000 EGP",4 ,https://www.propertyfinder.eg/property/1619444469/260/185/MODE/51be21/1825315-9093fo.jpg?ctr=eg
Cheapest Apt 154m With Monthly Installment 7000 .,"The City, New Capital Compounds, New Capital City, Cairo",154 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-city-1826327.html,"300,000 EGP",3 ,https://www.propertyfinder.eg/property/1619450960/260/185/MODE/d6ffc8/1826327-07fafo.jpg?ctr=eg
Townhouse Corner ForSale Ready To Move Installment,"Azzar, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",237 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-azzar-1826395.html,"7,500,000 EGP",3 ,https://www.propertyfinder.eg/property/1619451402/260/185/MODE/bae564/1826395-88e13o.jpg?ctr=eg
Twin house in mountain view 2 for sale 270 sqm,"Mountain View 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",270 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mountain-view-2-1827029.html,"9,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619484083/260/185/MODE/35e4ba/1827029-a5412o.jpg?ctr=eg
Town house Middle Villette 257 sqm Semi finished,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",257 sqm,Townhouse,/en/buy/townhouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1827036.html,"8,250,000 EGP",3 ,https://www.propertyfinder.eg/property/1619484459/260/185/MODE/a95dd0/1827036-74db3o.jpg?ctr=eg
Duplex ready to move in Hyde Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",256 sqm,Duplex,/en/buy/duplex-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1826794.html,"3,400,000 EGP",3 ,https://www.propertyfinder.eg/property/1619458905/260/185/MODE/4c6816/1826794-fa96bo.jpg?ctr=eg
Standalone Villa for Sale in Mivida Emaar,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",500 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1825669.html,"16,000,000 EGP",5 ,https://www.propertyfinder.eg/property/1619446514/260/185/MODE/4f07b8/1825669-bed25o.jpg?ctr=eg
Pay 465000 And Delivered Finished Villa+Appliances,"Al Patio 5 East, El Patio, El Shorouk Compounds, Shorouk City, Cairo",376 sqm,Villa,/en/buy/villa-for-sale-cairo-shorouk-city-el-shorouk-compounds-el-patio-al-patio-5-east-1828474.html,"465,000 EGP",5 ,https://www.propertyfinder.eg/property/1619529479/260/185/MODE/c8e68c/1828474-2572eo.jpg?ctr=eg
Standalone for sale in Lake View Fully finished,"Lake View, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",680 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-lake-view-1827953.html,"18,000,000 EGP",5 ,https://www.propertyfinder.eg/property/1619526680/260/185/MODE/7c4274/1827953-4d3abo.jpg?ctr=eg
Semi Finished Villa 375M for sale at Hyde Park,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",375 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-hyde-park-1828512.html,"9,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619529657/260/185/MODE/a9f8c5/1828512-b3195o.jpg?ctr=eg
Special Price Villa 356 SQM for sale at Mivida   .,"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",356 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-mivida-1828139.html,"10,760,000 EGP",4 ,https://www.propertyfinder.eg/property/1619527703/260/185/MODE/ec16d8/1828139-596fdo.jpg?ctr=eg
Apartment for sale in Fifth Square Al Marasem,"Fifth Square, North Investors Area, New Cairo City, Cairo",140 sqm,Apartment,/en/buy/apartment-for-sale-cairo-new-cairo-city-north-investors-area-fifth-square-1828788.html,"1,619,675 EGP",3 ,https://www.propertyfinder.eg/property/1619531125/260/185/MODE/f8e86b/1828788-33dc1o.jpg?ctr=eg
Villa furnished Ultra Modern for Sale in AlRehab,"Mahmoud Al Sherif St., Rehab City Third Phase, Al Rehab, New Cairo City, Cairo",400 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-al-rehab-rehab-city-third-phase-mahmoud-al-sherif-st-1828520.html,"9,000,000 EGP",4 ,https://www.propertyfinder.eg/property/1619529688/260/185/MODE/f2adf9/1828520-bf85do.jpg?ctr=eg
Villa For sale at Villette compound,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",555 sqm,Villa,/en/buy/villa-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-1829403.html,"12,200,000 EGP",4 ,https://www.propertyfinder.eg/property/1619534007/260/185/MODE/979e8e/1829403-bb4a9o.jpg?ctr=eg
twin house for sale 300 meters installments,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",300 sqm,Twin House,/en/buy/twin-house-for-sale-cairo-shorouk-city-el-shorouk-compounds-al-burouj-compound-1825348.html,"4,800,000 EGP",4 ,https://www.propertyfinder.eg/property/1619444678/260/185/MODE/040a35/1825348-7885do.jpg?ctr=eg
